I,0,0,0,13,255,165,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,207,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,255,25,25,32,165,255,255,25,255,255,0,0,0,0,255,255,255,255,25,161,255,255,255,255,255,255,0,0,0,25,219,255,241,255,61,25,255,255,255,255,255,234,108,0,0,25,255,255,255,255,219,43,255,255,255,165,230,255,255,0,25,255,255,255,165,165,165,255,255,255,165,230,165,255,255,2,25,25,255,255,241,179,243,255,255,165,179,165,165,255,255,0,25,25,255,165,255,255,255,191,165,165,165,255,255,222,0,0,26,255,255,166,255,255,255,255,252,165,165,255,255,0,0,0,171,255,255,255,255,255,255,255,255,165,255,253,213,0,0,0,255,255,255,255,233,255,255,255,165,255,255,0,0,0,0,0,255,255,255,255,255,255,255,255,224,241,0,0,0,0,0,0,64,25,255,255,25,255,255,255,0,0,0,0,0,0,0,0
I,0,0,0,0,0,186,255,0,0,0,0,0,0,0,0,0,0,0,0,0,25,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,165,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,251,0,0,212,80,0,0,0,0,0,0,0,0,0,255,227,165,0,68,255,255,241,255,255,0,0,0,0,0,0,126,255,255,255,236,255,255,255,255,255,255,0,0,0,0,25,255,170,250,255,255,255,182,255,193,238,255,255,48,0,22,255,255,215,165,165,255,252,238,255,165,255,212,255,182,0,25,255,255,255,212,165,247,255,255,252,165,255,255,233,0,25,25,255,170,170,170,165,255,165,165,165,255,255,255,105,0,25,255,255,255,255,165,255,68,255,255,255,255,255,165,0,0,255,255,255,255,255,25,25,68,255,255,171,255,255,255,0,0,255,255,255,255,25,25,25,255,255,165,255,255,255,0,0,0,255,255,255,255,25,25,255,245,182,165,255,165,0,0,0,0,212,255,255,212,153,200,255,255,255,238,250,0,0,0,0,0
B,8,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,8,0,0,0,1,0,255,255,255,255,2,0,0,0,0,0,8,0,0,0,0,0,255,246,235,155,255,7,0,0,0,0,8,0,8,0,0,242,217,149,152,149,149,255,0,0,0,0,0,0,0,255,9,255,217,248,255,180,149,255,0,0,0,0,0,0,0,235,255,255,255,149,195,149,149,150,0,0,0,0,0,0,255,255,255,255,255,195,255,232,182,182,0,0,0,0,8,0,255,255,205,255,255,175,255,149,255,255,0,0,0,0,0,0,9,255,255,255,190,229,255,149,255,149,0,0,0,0,8,0,255,255,255,255,255,255,255,149,255,222,0,0,0,0,0,9,255,255,168,255,222,255,255,222,255,255,0,0,0,0,0,9,255,155,155,255,149,255,255,222,255,255,0,0,0,0,9,9,255,149,255,255,255,211,255,255,255,23,0,0,0,0,9,255,9,9,255,255,255,158,255,255,55,0,0,0,0,0,255,255,255,255,255,149,182,149,149,172,255,0,0,0,0,0,147,255,255,255,255,255,181,149,169,236,255,9,0,0,0,0
H,0,0,19,0,0,0,6,0,154,0,0,0,0,0,0,0,0,0,0,3,0,139,145,154,154,53,154,154,154,171,0,0,0,0,0,154,128,154,154,129,154,154,149,128,129,128,0,0,12,0,14,14,154,14,154,27,154,148,154,128,128,128,0,0,12,14,14,132,154,128,149,128,171,145,128,154,23,128,0,0,14,14,14,142,145,148,140,140,163,0,0,88,0,0,0,0,14,4,14,14,154,154,128,171,0,0,0,0,97,72,0,0,14,14,14,14,154,128,128,128,130,129,5,97,15,88,0,0,89,14,153,134,152,129,157,132,35,0,70,234,14,97,0,0,14,14,154,114,135,156,128,140,0,97,97,97,255,0,0,0,58,88,88,147,140,154,154,60,9,9,215,97,0,255,0,0,14,14,154,137,14,101,0,88,19,27,0,0,0,64,0,0,23,14,36,27,0,0,0,19,0,4,0,82,0,82,0,0,154,46,0,19,19,19,0,0,97,97,21,97,0,250,0,0,154,48,0,0,19,19,0,97,0,97,0,0,6,0,0,0,154,0,0,19,39,19,0,0,97,0,97,97,0,255,0,0
B,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,124,135,255,0,0,0,0,0,0,0,1,0,0,0,0,255,255,255,255,0,0,0,0,0,0,0,0,0,8,255,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,9,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,0,0,0,0,0,3,0,255,255,255,255,255,255,254,255,255,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,170,0,0,0,0,0,0,9,255,255,255,255,255,255,24,255,9,0,0,0,0,0,9,9,255,255,255,149,255,255,255,255,0,0,0,0,0,0,9,255,255,109,255,255,255,255,255,255,0,0,0,0,0,9,150,255,255,255,255,255,255,245,255,255,0,0,0,0,0,255,255,255,255,255,255,255,255,255,232,255,0,0,0,0,0,255,186,255,255,255,255,255,255,255,255,255,0,0,0,0,0,216,9,255,255,255,47,47,149,255,255,255,4,0,0,0,0
H,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,74,0,3,0,0,14,14,128,9,147,154,0,0,0,7,36,0,0,0,0,154,154,47,99,154,147,171,148,0,0,0,0,0,0,0,21,154,154,128,14,154,128,64,166,166,0,97,97,0,0,0,14,154,154,154,14,151,154,0,0,0,0,0,12,0,0,14,121,154,154,17,128,88,0,0,0,0,36,0,0,0,0,14,5,14,154,134,128,128,8,0,7,0,61,0,0,0,0,9,14,12,154,128,128,0,2,0,7,12,32,95,255,0,14,14,12,14,139,152,142,0,0,19,0,0,97,0,168,0,14,14,14,2,14,0,0,0,0,3,0,97,97,96,0,0,14,14,14,14,0,0,0,0,0,19,19,97,97,74,255,0,14,14,66,148,0,0,19,17,0,0,97,23,12,89,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,255,198,255,255,255,241,255,255,255,255,0,0,0,0,0,25,255,255,170,255,238,36,255,220,255,255,182,0,0,0,25,255,255,255,255,255,255,255,255,103,255,182,165,165,0,25,25,255,223,255,218,215,215,255,233,35,0,0,0,0,0,25,25,25,255,255,165,165,165,165,0,0,0,0,0,0,25,25,25,25,25,227,169,193,165,7,0,0,0,0,0,0,25,25,25,255,255,165,255,165,165,0,0,0,0,0,0,0,25,25,241,255,255,165,176,165,0,0,0,0,0,0,0,0,25,255,255,126,255,187,255,0,0,0,0,0,0,0,0,0,25,255,25,68,255,0,0,0,0,0,0,0,0,0,0,0,255,255,255,48,0,0,0,0,0,0,0,0,0,0,0,0,255,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,87,255,253,251,43,0,0,0,0,63,0,0,0,254,250,255,255,255,251,46,255,0,0,0,0,0,0,37,251,251,251,251,254,255,253,251,74,0,0,0,0,7,0,37,251,255,255,74,255,255,255,56,70,0,0,0,47,0,37,251,251,255,169,255,255,255,255,16,64,0,0,67,0,251,251,251,251,251,255,255,255,0,0,0,0,54,0,1,251,251,251,251,255,255,16,253,175,66,16,35,0,0,0,0,251,251,251,255,254,255,27,243,130,31,74,0,0,0,0,44,251,251,251,251,251,255,16,74,128,16,0,0,0,0,251,251,251,251,251,251,255,255,255,255,255,0,0,0,0,0,251,254,251,251,251,251,236,251,255,0,0,0,0,0,3,251,251,247,253,251,37,251,251,0,46,0,67,0,0,49,0,248,156,251,255,247,7,251,15,0,67,0,0,0,0,0,10,37,251,251,251,200,74,66,43,67,25,67,0,47,0,0,4,37,251,252,23,251,223,67,67,67,0,0,67,0,56,9,0
I,0,0,0,0,0,0,0,0,14,171,0,0,0,0,0,0,0,0,18,0,0,0,0,0,154,128,0,0,0,0,0,0,0,0,0,0,0,0,18,14,154,128,0,0,0,0,0,0,1,0,0,0,0,0,0,14,154,0,0,0,0,0,0,0,0,0,47,0,0,0,0,141,129,0,0,0,0,97,0,0,14,154,152,154,128,148,154,154,128,0,0,0,0,1,0,0,154,119,154,20,128,128,154,132,128,0,0,19,0,0,0,183,22,154,153,132,154,128,154,128,128,0,9,18,0,0,0,0,14,17,154,154,154,86,154,154,171,0,0,0,2,2,0,9,14,36,116,135,154,150,135,147,147,0,0,0,0,0,0,0,14,14,14,142,14,79,145,128,169,0,0,7,0,0,0,52,14,24,14,145,46,88,154,125,157,0,0,0,0,0,33,0,13,19,132,14,76,14,154,150,148,0,0,10,0,0,0,0,0,14,14,154,60,152,154,171,171,0,0,19,97,0,0,0,0,14,14,154,14,30,147,23,171,0,0,97,12,97,0,0,0,14,14,14,106,154,128,145,116,0,0,0,0,0,0,0
I,0,0,0,25,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,97,255,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,255,23,25,25,0,0,0,0,0,0,0,0,0,0,240,255,255,25,25,255,255,227,255,0,0,0,0,0,0,25,255,255,255,25,25,255,255,255,255,255,255,167,0,0,25,255,255,251,249,25,31,165,255,255,249,255,255,155,0,0,25,255,255,255,165,25,255,204,204,165,204,255,255,170,0,0,25,255,255,165,238,255,206,165,255,165,255,255,255,250,0,0,255,255,255,183,255,255,174,182,165,92,255,255,255,255,0,0,255,255,255,255,255,255,215,165,165,255,255,255,255,0,0,0,255,255,255,25,25,255,255,255,165,255,255,255,0,0,0,0,183,183,25,25,183,183,255,255,255,255,255,0,0,0,0,0,25,25,25,25,255,255,255,165,255,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,255,238,0,0,0,0,0,0,0,0,0,0,0,0,0,9,255,196,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,142,0,0,0,0,0,0,0,0,0,0,0,0,0,125,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,126,150,0,0,0,0,0,0,0,0,0,25,255,255,24,97,255,255,255,255,255,0,0,0,0,0,0,255,197,255,255,25,255,165,255,255,255,0,0,0,0,0,183,255,167,255,255,255,255,255,255,255,255,255,255,0,0,255,255,255,249,249,255,249,249,255,165,165,25,255,165,0,25,68,255,255,255,255,255,255,255,196,165,215,255,255,165,0,25,255,255,255,192,193,255,165,165,165,165,228,255,227,255,0,255,255,255,255,255,215,255,255,215,247,215,255,215,165,0,0,255,255,255,255,25,25,49,255,255,255,255,255,165,0,0,0,255,255,146,25,25,25,255,255,227,255,255,227,255,0,0,0,255,255,25,25,107,25,255,165,255,255,255,175,0,0,0,0,254,39,25,241,134,255,255,255,255,255,0,0,0,0,0,0
I,0,0,0,0,0,255,165,0,0,0,0,0,0,0,0,0,0,0,0,0,9,242,165,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,226,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,176,3,25,255,0,0,0,0,0,0,0,0,0,0,111,255,255,25,100,244,165,234,221,0,0,0,0,0,0,75,255,255,255,169,179,172,255,255,255,165,255,0,0,0,0,255,255,244,244,54,255,165,255,255,165,165,165,165,0,0,54,255,255,165,165,255,176,255,255,251,165,165,165,255,0,25,25,255,199,165,165,255,194,255,165,186,255,255,242,0,0,25,111,255,199,221,255,255,244,244,165,200,25,255,165,0,0,226,255,255,255,255,255,244,255,165,165,176,54,255,0,0,0,255,255,225,255,226,25,255,253,165,165,255,255,223,0,0,0,255,255,255,255,25,57,255,255,255,199,255,165,0,0,0,0,255,255,255,25,25,79,255,255,176,255,213,9,0,0,0,0,25,25,129,25,226,255,255,165,245,0,0,0,0,0,0,0
B,0,0,0,0,0,0,208,255,208,255,0,0,0,0,0,0,0,0,0,0,0,0,222,222,149,149,255,0,0,0,0,0,0,0,0,0,0,0,255,149,149,149,149,255,0,0,0,0,0,0,0,0,255,255,149,248,255,255,149,255,0,0,0,0,0,0,0,249,149,255,255,255,255,255,149,149,0,0,0,0,0,0,0,255,255,255,255,235,149,255,255,255,0,0,0,0,0,0,0,255,182,182,149,149,149,149,149,255,0,0,0,0,0,0,167,251,255,255,255,255,255,149,149,255,0,0,0,0,0,0,255,149,149,195,255,255,255,149,255,255,0,0,0,0,0,0,255,255,149,255,255,222,255,255,255,255,0,0,0,0,0,50,255,254,255,255,255,255,255,255,255,9,0,0,0,0,0,96,255,255,255,255,255,255,155,255,255,9,0,0,0,0,4,255,255,255,255,255,255,255,255,149,255,255,0,0,0,0,141,255,255,255,255,255,255,255,149,235,255,255,0,0,0,0,255,255,222,255,255,255,255,255,255,255,255,255,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0
I,19,0,19,0,45,5,0,0,154,171,0,0,2,97,59,0,0,3,3,0,0,0,0,0,132,128,0,2,0,0,0,0,0,3,16,0,0,0,0,14,154,137,0,0,18,0,0,0,0,0,14,0,19,0,0,154,148,0,0,0,0,0,0,0,14,14,14,14,14,14,88,154,128,0,0,0,19,0,0,0,14,154,154,14,14,154,97,129,132,0,0,0,0,0,0,0,14,154,154,15,154,130,155,154,128,89,0,0,0,0,0,0,53,14,154,137,151,154,171,153,137,23,4,0,0,0,0,0,13,14,14,153,128,128,23,128,171,171,0,0,0,9,0,0,14,91,154,14,101,128,156,128,134,171,0,0,0,0,0,0,14,14,154,154,171,128,136,37,171,162,0,97,26,97,0,0,5,14,154,86,146,14,151,128,148,125,0,0,0,135,0,0,5,12,14,14,154,128,154,171,171,23,0,94,0,58,97,0,13,0,14,14,14,154,128,128,171,23,0,0,41,74,0,0,0,0,14,154,14,143,154,20,143,23,0,15,0,0,0,0,0,1,14,151,114,105,149,137,148,23,97,183,0,88,40,0
I,0,0,0,2,46,165,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,133,255,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,196,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,241,25,25,255,255,255,220,21,0,255,0,0,0,25,255,196,255,255,25,25,255,255,255,255,255,207,0,0,0,25,255,255,255,255,216,25,255,255,255,165,255,207,0,0,0,90,255,237,255,165,234,255,255,255,200,165,255,255,0,0,25,25,255,255,255,165,185,255,255,255,165,165,255,255,0,0,25,255,255,255,185,255,239,255,201,165,165,165,255,255,0,0,25,255,255,255,255,255,255,255,165,165,165,253,255,133,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,255,255,255,255,255,255,255,255,255,165,255,196,16,0,0,0,255,255,255,104,255,255,255,255,201,255,255,0,0,0,0,0,190,255,255,89,25,190,255,255,245,0,0,0,0,0,0,0,25,25,255,25,233,25,233,255,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,249,154,255,255,204,255,0,0,0,0,0,255,154,255,25,255,255,150,238,255,238,165,0,0,0,0,255,255,255,255,255,255,25,255,255,255,255,255,170,0,0,25,25,154,25,126,126,255,255,255,182,215,165,165,165,0,0,25,255,255,170,244,255,165,249,170,27,0,0,0,0,0,25,25,255,227,243,227,165,165,165,72,0,0,0,0,0,25,25,25,25,153,255,191,255,255,165,8,0,0,0,0,0,25,25,25,25,255,168,249,165,165,170,0,0,0,0,0,0,25,25,154,255,255,255,202,165,165,0,0,0,0,0,0,0,25,25,68,255,255,255,165,255,255,0,0,0,0,0,0,0,25,25,255,68,103,165,255,0,0,0,0,0,0,0,0,0,56,255,25,255,255,125,0,0,0,0,0,0,0,0,0,0,39,255,255,39,23,0,0,0,0,0,0,0,0,0,0,0,227,255,165,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,59,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118,251,253,35,0,0,0,0,0,0,0,235,255,251,251,255,251,253,23,252,170,16,0,0,0,0,0,255,251,251,249,69,251,255,251,254,255,255,0,0,0,0,253,225,16,230,251,251,255,253,248,255,255,136,0,0,0,37,251,255,251,255,251,255,74,202,0,0,41,0,0,0,1,251,253,251,255,36,76,255,0,66,0,0,0,0,0,0,37,177,251,254,193,98,193,193,136,51,43,0,0,13,0,251,146,251,255,74,255,255,214,0,255,26,0,67,0,0,0,154,44,251,251,254,79,251,253,79,255,67,8,0,35,0,251,251,251,251,226,191,251,252,251,0,0,67,5,0,0,0,251,252,251,116,251,253,251,0,0,67,67,0,61,67,67,0,251,255,255,42,251,37,0,0,0,0,67,67,0,0,67,61,110,251,251,255,148,0,52,5,0,11,29,0,6,0,0,44,251,251,255,251,34,66,0,0,66,67,67,66,0,0,15,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,255,165,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,255,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,8,255,253,0,0,255,8,0,0,0,0,0,0,0,0,0,25,255,255,0,255,255,249,53,187,165,0,0,0,0,0,0,25,204,255,255,49,255,255,255,255,255,255,0,0,0,0,255,255,232,255,255,255,182,255,249,250,255,255,255,0,0,209,255,255,255,181,255,255,255,255,165,165,25,255,204,0,25,255,255,255,255,165,255,197,255,165,165,192,255,255,255,0,25,126,255,170,255,165,255,165,165,165,170,255,255,255,218,0,25,255,255,255,255,255,255,255,255,255,255,255,193,227,0,0,255,255,255,255,25,25,25,126,255,255,255,255,165,0,0,0,255,255,255,25,25,39,241,255,255,255,250,197,249,0,0,0,255,255,25,25,25,247,255,245,165,255,165,112,0,0,0,0,255,255,25,25,25,255,255,255,165,165,0,0,0,0,0,0
